frame_id,target_id,class_name,x1,y1,x2,y2,bbox_height_px,depth_score,distance_m
31,270,car,744.66,483.12,788.67,516.12,33.0,0.1271,22.19
31,271,car,1009.96,471.08,1097.35,542.57,71.49,0.221,20.3
31,272,car,1051.09,471.59,1126.07,558.46,86.88,0.2539,21.33
31,273,car,962.99,484.0,1000.67,520.01,36.01,0.1703,20.23
31,274,car,931.99,477.29,972.84,512.39,35.1,0.1513,25.91
31,275,car,713.77,483.0,750.86,511.01,28.01,0.1183,35.46
32,276,car,1305.07,485.87,1599.41,676.75,190.87,0.4738,26.67
32,277,car,1147.61,465.96,1386.54,615.91,149.95,0.3496,18.14
32,278,car,859.44,480.33,922.37,534.46,54.13,0.1362,11.42
32,279,car,1079.92,475.72,1203.18,576.47,100.75,0.2566,13.29
32,280,car,740.71,486.88,785.7,522.44,35.56,0.1042,21.81
32,281,car,1034.41,476.64,1107.83,556.0,79.37,0.2064,19.45
32,282,car,974.75,486.44,1009.62,523.44,37.0,0.1479,26.15
32,283,car,614.83,482.79,673.06,535.0,52.21,0.1288,22.6
32,284,car,524.01,489.45,589.9,562.43,72.99,0.1818,23.06
32,285,car,928.22,480.66,979.77,517.46,36.8,0.1282,23.17
32,286,bus,342.16,451.02,507.31,595.96,144.94,0.2331,20.95
32,287,car,614.18,480.41,654.14,537.11,56.7,0.1325,22.54
32,288,car,1008.14,480.43,1057.96,544.51,64.08,0.1803,17.98
32,289,car,708.13,483.73,749.03,515.13,31.4,0.0958,25.22
33,290,car,1214.03,456.92,1587.07,655.59,198.67,0.5009,20.16
33,291,car,1473.77,492.89,1599.63,705.24,212.35,0.5971,15.8
33,292,car,1115.1,471.93,1287.09,593.42,121.49,0.332,6.38
33,293,car,854.24,479.21,917.44,529.46,50.24,0.1447,12.29
33,294,car,980.06,485.3,1024.98,525.87,40.58,0.1685,20.13
33,295,car,479.98,490.63,558.39,562.85,72.21,0.2254,22.34
33,296,truck,250.97,443.55,491.98,603.74,160.19,0.3104,19.58
33,297,car,1057.37,472.68,1155.92,567.07,94.39,0.2537,14.11
33,298,car,725.46,482.31,773.99,524.43,42.13,0.1261,18.08
33,299,car,597.25,480.26,656.63,536.33,56.07,0.1549,20.02
33,300,car,935.05,478.59,975.82,516.16,37.57,0.1433,26.32
33,301,car,1018.19,481.38,1072.1,550.0,68.62,0.2109,22.65
33,302,car,773.86,473.27,812.73,499.36,26.08,0.0981,30.75
33,303,car,500.97,489.88,558.69,560.19,70.31,0.2187,25.86
33,304,car,692.52,485.83,725.36,515.46,29.64,0.1187,33.43
33,305,car,945.99,479.65,988.03,519.4,39.75,0.1492,28.16
34,306,car,1330.66,441.78,1598.97,733.31,291.53,0.6017,23.95
34,307,car,1167.53,460.31,1415.57,618.81,158.49,0.4063,13.12
34,308,truck,109.78,429.16,437.53,637.04,207.89,0.402,7.13
34,309,car,1086.39,464.43,1227.08,575.48,111.05,0.2957,9.3
34,310,car,418.58,484.93,520.54,571.64,86.71,0.2725,11.33
34,311,car,852.29,474.35,910.62,521.83,47.48,0.1479,15.75
34,312,car,1036.67,475.67,1101.2,551.11,75.44,0.2356,17.4
34,313,car,710.33,474.68,764.76,529.23,54.55,0.1501,20.16
34,314,car,988.87,481.19,1045.9,525.76,44.58,0.1849,20.61
34,315,car,774.4,473.47,799.81,496.05,22.57,0.1112,32.84
34,316,car,515.32,489.65,580.24,544.87,55.23,0.2035,32.66
34,317,car,576.18,477.51,638.52,535.43,57.91,0.1797,30.7
34,318,car,954.41,472.85,998.05,518.17,45.33,0.1617,21.94
35,319,car,1268.16,452.62,1599.52,682.79,230.17,0.5354,16.57
35,320,truck,0.3,420.72,352.86,679.66,258.95,0.4648,12.89
35,321,car,1135.42,457.01,1338.37,598.09,141.08,0.3621,7.0
35,322,car,1069.3,474.49,1161.98,565.52,91.03,0.2744,9.58
35,323,car,329.08,484.32,480.69,589.75,105.44,0.3104,10.17
35,324,car,1002.17,478.5,1080.83,536.04,57.54,0.2219,14.16
35,325,car,686.84,477.75,752.36,540.95,63.2,0.1871,16.1
35,326,car,850.82,473.17,907.57,520.11,46.94,0.1733,20.75
35,327,car,939.99,471.01,982.33,513.91,42.89,0.1741,23.11
35,328,car,545.37,469.0,613.83,536.45,67.45,0.1995,22.71
35,329,car,964.82,470.5,1018.55,521.71,51.21,0.1908,21.99
35,330,car,601.84,485.28,630.29,534.81,49.53,0.1924,20.76
36,331,truck,0.54,406.13,182.01,685.81,279.69,0.4052,17.87
36,332,car,1230.94,439.68,1596.1,649.23,209.55,0.4655,12.12
36,333,car,1026.36,474.76,1138.42,542.16,67.4,0.2173,10.04
36,334,car,168.32,484.6,397.99,620.17,135.57,0.3372,10.0
36,335,car,625.24,484.23,730.19,565.62,81.39,0.2236,12.95
36,336,car,1129.12,472.12,1257.67,581.19,109.07,0.3225,10.71
36,337,car,850.88,472.53,907.29,518.21,45.69,0.1566,16.42
36,338,car,716.57,468.88,754.44,503.58,34.7,0.1296,22.94
36,339,car,952.44,466.89,998.74,515.56,48.67,0.1573,27.46
36,340,car,1515.52,529.99,1599.63,731.3,201.31,0.6404,20.72
36,341,car,907.72,470.59,948.36,503.77,33.18,0.1401,21.2
36,342,car,984.57,465.7,1044.93,527.81,62.1,0.1808,19.45
36,343,car,1164.61,477.75,1275.83,586.87,109.12,0.3408,21.14
36,344,car,575.13,489.29,610.61,537.16,47.87,0.185,17.47
36,345,car,768.83,470.46,795.06,495.41,24.95,0.12,26.87
36,346,car,488.39,469.04,583.5,546.66,77.62,0.1915,28.43
36,347,car,1168.87,492.35,1257.63,589.22,96.87,0.3408,24.23
36,348,car,940.79,468.54,969.58,510.53,41.99,0.15,17.85
36,349,car,820.74,471.66,852.24,499.27,27.61,0.1273,26.97
36,350,car,426.48,492.5,515.54,560.22,67.72,0.2119,28.79
37,351,car,551.16,485.88,699.1,593.23,107.35,0.279,23.08
37,352,car,0.0,481.76,322.84,653.97,172.21,0.4217,11.14
37,353,car,1050.12,474.37,1175.0,548.85,74.48,0.2567,10.57
37,354,car,1345.58,432.56,1598.91,723.5,290.94,0.6049,8.27
37,355,car,1183.86,472.79,1410.25,610.7,137.91,0.4505,8.77
37,356,car,1006.68,464.23,1070.58,531.0,66.78,0.2158,9.41
37,357,car,675.98,482.22,718.36,508.14,25.92,0.1417,23.13
37,358,car,912.48,470.31,953.92,502.07,31.76,0.1576,32.65
